CODE,TYPE,HEADING,LABELS,COST,DETAILS
 B8301406,earrings,Diamants LÃ©gers earrings,"pink gold, diamonds",1840.0,"Diamants LÃ©gers earrings, 18K pink gold, each set with a brilliant-cut diamond totaling 0.18 carat."
 B8301407,earrings,Diamants LÃ©gers earrings,"white gold, diamonds",1980.0,"Diamants LÃ©gers earrings, 18K white gold, each set with a brilliant-cut diamond totaling 0.09 carat."
 B8041500,earrings,"Diamants LÃ©gers earrings, MM","pink gold, diamonds",2750.0,"Diamants LÃ©gers earrings, 18K pink gold, each set with a brilliant-cut diamond totaling 0.26 carat."
 B8041600,earrings,"Diamants LÃ©gers earrings, MM","yellow gold, diamonds",2750.0,"Diamants LÃ©gers earrings, 18K yellow gold, each set with a brilliant-cut diamond of 0.26 carat."
 B8041400,earrings,"Diamants LÃ©gers earrings, MM","white gold, diamonds",2940.0,"Diamants LÃ©gers earrings, 18K white gold, each set with a brilliant-cut diamond of 0.26 carat."
 B8301244,earrings,Etincelle de Cartier earrings,"pink gold, diamonds",3350.0,"Etincelle de Cartier hoop earrings, small model, 18K pink gold, each set with 19 brilliant-cut diamonds totaling 0.13 carats."
 B8301245,earrings,Etincelle de Cartier earrings,"yellow gold, diamonds",3350.0,"Etincelle de Cartier hoop earrings, small model, 18K yellow gold, each set with 19 brilliant-cut diamonds totaling 0.13 carats."
 B8301226,earrings,"Etincelle de Cartier earrings, small model","white gold, diamonds",3550.0,"Etincelle de Cartier hoop earrings, small model, 18K white gold, each set with 19 brilliant-cut diamonds totaling 0.13 carats."
 B8301246,earrings,Etincelle de Cartier earrings,"pink gold, diamonds",7350.0,"Etincelle de Cartier hoop earrings, medium model, 18K pink gold, each set with 37 brilliant-cut diamonds totaling 0.33 carats."
 B8301247,earrings,Etincelle de Cartier earrings,"yellow gold, diamonds",7350.0,"Etincelle de Cartier hoop earrings, medium model, 18K yellow gold, each set with 37 brilliant-cut diamonds totaling 0.33 carats."
 B8301227,earrings,"Etincelle de Cartier earrings, medium model","white gold, diamonds",7850.0,"Etincelle de Cartier hoop earrings, medium model, 18K white gold, each set with 37 brilliant-cut diamonds totaling 0.33 carats."
 N8515102,earrings,Etincelle de Cartier earrings,"pink gold, diamonds",9300.0,"Etincelle de Cartier earrings, 18K pink gold, each set with 12 brilliant-cut diamonds totaling 0.45 carats."
 B8043100,earrings,"Etincelle de Cartier earrings, small model","white gold, diamonds",,"Ã‰tincelle de Cartier earrings, small model, 18K white gold, each set with 46 diamonds totaling 0.36 carats."
 N8515103,earrings,Etincelle de Cartier earrings,"white gold, diamonds",9950.0,"Etincelle de Cartier earrings, 18K white gold, each set with 12 brilliant-cut diamonds totaling 0.45 carats."
 N8515097,earrings,Etincelle de Cartier earrings,"yellow gold, diamonds",12700.0,"Etincelle de Cartier hoop earrings, medium model, 18K yellow gold, each set with 91 brilliant-cut diamonds totaling 0.49 carats."
 N8515087,earrings,"Etincelle de Cartier earrings, medium model","white gold, diamonds",,"Etincelle de Cartier hoop earrings, medium model, 18K white gold, each set with 91 brilliant-cut diamonds totaling 0.49 carats."
 N8515095,earrings,Etincelle de Cartier earrings,"pink gold, diamonds",14700.0,"Etincelle de Cartier hoop earrings, large model, 18K pink gold, each set with 60 brilliant-cut diamonds totaling 0.70 carats."
 N8515096,earrings,Etincelle de Cartier earrings,"yellow gold, diamonds",14700.0,"Etincelle de Cartier hoop earrings, large model, 18K yellow gold, each set with 60 brilliant-cut diamonds totaling 0.70 carats."
 N8515172,earrings,Etincelle de Cartier earrings,"white gold, diamonds",19900.0,"Ã‰tincelle de Cartier earrings, 18K white gold, each set with 2 square-cut diamonds totaling 0.32 carat and 15 brilliant-cut diamonds totaling 1.02 carats."
 N8515137,earrings,Etincelle de Cartier earrings,"white gold, diamonds",20400.0,"Ã‰tincelle de Cartier earrings, 18K white gold, each set with 74 brilliant-cut diamonds totaling 1.73 carats."
 N8515094,earrings,Reflection de Cartier earrings,"white gold, diamonds",22400.0,"Reflection de Cartier earrings, small model, 18K white gold, each set with 4 brilliant-cut diamonds totaling 0.34 carat and 4 baguette-cut diamonds totaling 0.90 carat."
 N8515139,earrings,Etincelle de Cartier earring,"white gold, diamonds",22400.0,"Ã‰tincelle de Cartier ring, 18K white gold, set with 96 brilliant-cut diamonds totaling 1.90 carats."
 N8515129,earrings,Reflection de Cartier earrings,"white gold, diamonds",30800.0,"Reflection de Cartier earrings, 18K white gold, each set with 5 baguette-cut diamonds totaling 1.12 carats and 10 brilliant-cut diamonds totaling 0.95 carats."
 H8000215,earrings,Reflection de Cartier earrings,"white gold, diamonds",65000.0,"Reflection de Cartier earrings, large model, 18K white gold, each set with 19 brilliant-cut diamonds totaling 0.81 carats, and with 10 baguette-cut diamonds totaling 1.08 carats."
